@relation laser
@attribute Input1 real [2.0, 255.0]
@attribute Input2 real [2.0, 255.0]
@attribute Input3 real [2.0, 255.0]
@attribute Input4 real [2.0, 255.0]
@attribute Output real [0.0, 255.0]
@inputs Input1, Input2, Input3, Input4
@outputs Output
@data
32.0, 48.0, 19.0, 27.0, 59.0
48.0, 59.0, 129.0, 58.0, 27.0
23.0, 129.0, 58.0, 27.0, 19.0
27.0, 58.0, 19.0, 24.0, 46.0
59.0, 27.0, 24.0, 46.0, 112.0
27.0, 112.0, 73.0, 30.0, 20.0
128.0, 17.0, 37.0, 100.0, 158.0
19.0, 86.0, 17.0, 17.0, 27.0
158.0, 17.0, 72.0, 154.0, 118.0
17.0, 118.0, 20.0, 15.0, 21.0
43.0, 47.0, 150.0, 63.0, 24.0
15.0, 150.0, 24.0, 16.0, 17.0
21.0, 63.0, 16.0, 17.0, 33.0
63.0, 33.0, 166.0, 95.0, 33.0
17.0, 95.0, 16.0, 14.0, 22.0
58.0, 20.0, 16.0, 35.0, 106.0
160.0, 14.0, 36.0, 111.0, 176.0
18.0, 111.0, 80.0, 26.0, 14.0
80.0, 20.0, 163.0, 140.0, 45.0
14.0, 163.0, 45.0, 18.0, 12.0
98.0, 14.0, 17.0, 46.0, 145.0
185.0, 12.0, 46.0, 145.0, 167.0
19.0, 68.0, 132.0, 38.0, 15.0
12.0, 132.0, 15.0, 11.0, 13.0
26.0, 27.0, 10.0, 13.0, 30.0
93.0, 12.0, 13.0, 30.0, 114.0
9.0, 215.0, 20.0, 10.0, 8.0
30.0, 20.0, 8.0, 9.0, 21.0
120.0, 10.0, 9.0, 21.0, 95.0
9.0, 99.0, 9.0, 8.0, 7.0
21.0, 22.0, 8.0, 7.0, 9.0
234.0, 8.0, 9.0, 35.0, 176.0
176.0, 7.0, 4.0, 3.0, 4.0
46.0, 4.0, 4.0, 19.0, 105.0
5.0, 19.0, 125.0, 55.0, 30.0
4.0, 55.0, 28.0, 41.0, 71.0
41.0, 49.0, 33.0, 47.0, 75.0
98.0, 33.0, 75.0, 95.0, 76.0
33.0, 76.0, 34.0, 35.0, 49.0
75.0, 34.0, 49.0, 78.0, 96.0
95.0, 35.0, 78.0, 96.0, 75.0
75.0, 49.0, 99.0, 76.0, 46.0
49.0, 46.0, 33.0, 49.0, 83.0
46.0, 83.0, 74.0, 44.0, 32.0
32.0, 101.0, 44.0, 32.0, 33.0
32.0, 103.0, 43.0, 30.0, 31.0
73.0, 49.0, 106.0, 74.0, 43.0
85.0, 31.0, 49.0, 87.0, 109.0
109.0, 30.0, 87.0, 110.0, 76.0
76.0, 47.0, 110.0, 76.0, 41.0
87.0, 28.0, 47.0, 88.0, 114.0
41.0, 86.0, 82.0, 42.0, 26.0
26.0, 119.0, 42.0, 26.0, 25.0
26.0, 85.0, 26.0, 25.0, 39.0
85.0, 39.0, 121.0, 90.0, 43.0
36.0, 46.0, 23.0, 35.0, 72.0
123.0, 23.0, 72.0, 123.0, 102.0
22.0, 110.0, 27.0, 21.0, 28.0
31.0, 53.0, 21.0, 28.0, 57.0
68.0, 43.0, 135.0, 77.0, 34.0
98.0, 22.0, 36.0, 86.0, 139.0
34.0, 86.0, 91.0, 38.0, 21.0
22.0, 139.0, 38.0, 21.0, 19.0
38.0, 73.0, 107.0, 44.0, 23.0
19.0, 107.0, 23.0, 19.0, 26.0
30.0, 44.0, 19.0, 26.0, 59.0
137.0, 19.0, 59.0, 129.0, 125.0
24.0, 114.0, 68.0, 28.0, 18.0
140.0, 19.0, 93.0, 150.0, 88.0
68.0, 36.0, 150.0, 88.0, 34.0
28.0, 93.0, 88.0, 34.0, 19.0
43.0, 53.0, 137.0, 58.0, 24.0
53.0, 24.0, 19.0, 38.0, 104.0
131.0, 16.0, 38.0, 104.0, 156.0
38.0, 30.0, 16.0, 28.0, 75.0
156.0, 16.0, 75.0, 156.0, 112.0
17.0, 156.0, 40.0, 18.0, 15.0
16.0, 112.0, 18.0, 15.0, 21.0
96.0, 16.0, 24.0, 62.0, 153.0
16.0, 153.0, 46.0, 19.0, 13.0
24.0, 46.0, 13.0, 17.0, 37.0
62.0, 19.0, 17.0, 37.0, 113.0
153.0, 13.0, 37.0, 113.0, 165.0
46.0, 37.0, 165.0, 75.0, 25.0
13.0, 165.0, 25.0, 14.0, 13.0
75.0, 24.0, 164.0, 123.0, 40.0
71.0, 22.0, 167.0, 129.0, 40.0
13.0, 167.0, 40.0, 16.0, 12.0
12.0, 129.0, 16.0, 12.0, 14.0
129.0, 14.0, 107.0, 182.0, 81.0
51.0, 17.0, 11.0, 23.0, 77.0
155.0, 11.0, 77.0, 189.0, 115.0
23.0, 32.0, 9.0, 12.0, 30.0
13.0, 107.0, 82.0, 23.0, 10.0
30.0, 23.0, 9.0, 12.0, 36.0
134.0, 10.0, 13.0, 37.0, 148.0
8.0, 195.0, 16.0, 9.0, 8.0
195.0, 8.0, 29.0, 132.0, 220.0
58.0, 10.0, 132.0, 220.0, 67.0
16.0, 29.0, 220.0, 67.0, 15.0
8.0, 66.0, 137.0, 25.0, 9.0
66.0, 9.0, 5.0, 4.0, 5.0
137.0, 5.0, 5.0, 25.0, 165.0
25.0, 4.0, 25.0, 165.0, 233.0
9.0, 5.0, 165.0, 233.0, 51.0
12.0, 18.0, 201.0, 109.0, 29.0
12.0, 128.0, 63.0, 20.0, 11.0
