@relation plastic
@attribute Strength real [12.4,48.7]
@attribute Temperature real [200.0,300.0]
@attribute Pressure real [10.0,20.0]
@inputs Strength,Temperature
@outputs Pressure
@data
33.7, 280, 16
30.8, 260, 16
19.8, 210, 20
35.7, 280, 14
29.7, 250, 14
26.2, 250, 18
30.3, 230, 10
26.7, 230, 18
35.3, 300, 20
37.5, 290, 16
27, 210, 12
40.7, 290, 10
28.7, 250, 16
37.5, 270, 10
20.7, 230, 18
28.6, 250, 16
39, 260, 10
35.7, 260, 10
39.8, 270, 12
36.2, 290, 18
36.2, 260, 10
36.1, 290, 18
23.2, 200, 10
22.1, 210, 16
18.5, 210, 20
30.1, 220, 10
34.2, 270, 16
26.8, 250, 18
30.6, 270, 18
28.7, 260, 16
39.5, 290, 14
38.2, 290, 16
29.7, 270, 18
17.5, 210, 18
43.8, 280, 10
34.7, 270, 18
22.2, 200, 14
33.5, 240, 10
33.2, 280, 16
17.5, 210, 20
24.5, 230, 18
22.3, 240, 20
29.7, 270, 18
40.2, 270, 10
33, 240, 12
33.8, 270, 18
35.8, 290, 20
24.2, 230, 18
24.7, 210, 16
29.5, 240, 14
36.4, 280, 12
34.4, 260, 10
40.6, 300, 14
16.5, 200, 20
23.5, 230, 18
18.2, 210, 18
22.7, 240, 20
36.7, 290, 20
20.4, 220, 16
34.2, 250, 10
24.3, 240, 18
28.7, 260, 18
36.3, 270, 12
27.7, 270, 20
29.5, 240, 12
20.7, 230, 20
40.7, 300, 12
38.7, 290, 18
33.5, 290, 18
35.7, 260, 10
32.2, 250, 12
28.5, 220, 14
24.4, 260, 20
40.1, 270, 10
26.7, 210, 14
38.6, 280, 12
18.5, 200, 18
30.5, 250, 16
31.5, 250, 12
23.7, 210, 12
22.5, 200, 14
22.7, 230, 18
26.7, 270, 20
18.2, 200, 16
26.4, 240, 14
21.5, 240, 20
38.6, 290, 14
34.5, 230, 10
41.5, 290, 10
32.6, 290, 20
20.7, 240, 20
23.5, 210, 12
27.9, 260, 20
21.3, 210, 16
21.8, 200, 16
26.5, 230, 16
30.7, 270, 18
38.7, 290, 12
22.2, 230, 18
32.4, 280, 16
28.5, 210, 10
32.5, 240, 14
18.5, 200, 20
42.3, 300, 12
34.2, 300, 20
18.7, 200, 14
30.5, 250, 18
27.2, 220, 10
34.6, 290, 18
18.2, 210, 18
36.6, 270, 12
35.5, 250, 10
36.3, 290, 16
32.7, 290, 18
36.2, 270, 12
26.5, 220, 16
33.5, 280, 16
30.2, 250, 14
26.7, 250, 16
27.5, 270, 20
30.6, 260, 16
29.3, 240, 14
40.1, 280, 12
39.7, 300, 14
20.2, 210, 16
35.5, 300, 20
30.8, 240, 12
28.6, 270, 20
28.2, 230, 12
30.7, 290, 20
18.2, 210, 20
25.3, 230, 16
19.2, 200, 14
19.2, 230, 20
22.7, 220, 14
17.9, 210, 20
39.5, 300, 14
20.7, 210, 20
18.4, 200, 14
26.3, 230, 14
31.3, 270, 18
28.5, 200, 10
34.6, 260, 12
37.5, 270, 12
28.3, 230, 12
34.5, 250, 14
14.2, 200, 20
35.7, 270, 12
30.7, 240, 16
38.2, 290, 14
22.2, 220, 16
32.4, 300, 20
37.8, 260, 12
36.5, 240, 10
46.7, 290, 10
32.8, 240, 10
34.2, 280, 18
24.2, 240, 18
20.7, 200, 12
32.3, 280, 18
26.1, 220, 14
22.8, 220, 16
43.7, 300, 10
22.7, 210, 14
37.7, 270, 10
36.2, 280, 14
36.7, 290, 14
25.5, 220, 12
26.3, 240, 16
26.2, 260, 20
43.9, 290, 10
39.7, 280, 10
36.1, 270, 14
33, 280, 20
42.8, 290, 10
42.7, 280, 12
24.6, 250, 20
26.7, 250, 16
25.8, 220, 16
32.7, 240, 10
29.9, 260, 18
35.8, 270, 16
31.2, 260, 14
34.2, 270, 14
22.7, 200, 10
38.7, 270, 10
24.7, 210, 10
22.4, 240, 18
15.7, 210, 20
22.8, 240, 20
38.3, 270, 10
29.7, 260, 16
32.2, 290, 20
30.4, 290, 20
42.6, 300, 12
24.2, 200, 12
26.2, 230, 14
31.5, 230, 10
37.2, 280, 12
37.9, 270, 12
24.6, 200, 10
30.2, 250, 14
27.8, 200, 10
44.2, 300, 10
29, 210, 10
31.5, 240, 12
