@relation plastic
@attribute Strength real [12.4,48.7]
@attribute Temperature real [200.0,300.0]
@attribute Pressure real [10.0,20.0]
@inputs Strength,Temperature
@outputs Pressure
@data
38.2, 280, 12
17.7, 210, 18
34.7, 250, 10
27.7, 220, 10
31.9, 230, 10
39.2, 300, 14
16.2, 200, 18
32.7, 250, 16
29.5, 270, 20
36.8, 270, 12
20.2, 230, 20
21.7, 210, 14
32.5, 220, 10
22.2, 210, 14
28.4, 250, 14
34.6, 290, 18
30.8, 270, 18
34.6, 300, 20
16.4, 210, 18
18.1, 210, 20
28.7, 230, 10
28.2, 270, 20
14.8, 200, 20
33.2, 270, 14
26.2, 240, 16
28.7, 220, 14
25.5, 220, 14
42.6, 290, 10
29.5, 260, 18
32.8, 250, 12
22.8, 210, 14
24.2, 250, 20
28.8, 270, 20
42.5, 290, 12
36.2, 260, 10
40.2, 290, 14
26.7, 200, 12
37.8, 300, 20
47.8, 300, 10
40.2, 280, 10
36.2, 270, 14
23.8, 230, 20
14.7, 200, 20
42.2, 300, 12
29.2, 250, 14
40.6, 280, 10
39.9, 280, 12
21.3, 220, 18
33, 270, 18
40.2, 280, 12
34.8, 280, 16
22.4, 230, 16
14.4, 210, 20
34.2, 300, 20
35, 280, 18
13.7, 200, 20
26.7, 240, 14
33.5, 290, 20
37, 260, 12
34.3, 280, 16
44.7, 300, 14
25.2, 260, 20
34.6, 280, 16
27.2, 230, 12
42.5, 270, 10
34.4, 290, 16
26.6, 220, 12
34.2, 290, 20
22.2, 210, 16
31.7, 250, 12
38.2, 260, 10
24.1, 220, 16
18.6, 200, 16
38.5, 280, 16
36.7, 290, 14
24.7, 250, 18
26.7, 240, 14
24.8, 250, 20
26.7, 250, 18
31.7, 240, 10
27.5, 240, 14
38.7, 280, 12
29.7, 230, 10
20.5, 220, 20
44.2, 300, 12
44.6, 300, 10
28.1, 220, 12
34.6, 270, 14
23.5, 220, 16
25.2, 220, 12
24.2, 230, 16
27.9, 230, 14
38.5, 280, 14
25, 230, 18
31.7, 270, 16
30.2, 260, 18
18.7, 200, 16
34.1, 270, 16
18.7, 230, 20
26.7, 220, 10
18.1, 200, 18
21.2, 210, 14
33.5, 260, 12
32.2, 280, 18
27.8, 250, 20
24.3, 210, 12
36.2, 260, 12
16.6, 210, 20
14.7, 210, 20
34.2, 280, 16
23, 220, 18
28.7, 270, 18
38.1, 300, 18
20.2, 210, 18
31.5, 260, 14
37.7, 290, 14
29.5, 280, 20
16.8, 200, 18
32.7, 240, 14
39, 290, 16
23.2, 220, 14
18.4, 230, 20
32.6, 270, 16
37.3, 280, 14
29, 240, 16
38.8, 280, 12
30.6, 240, 12
20.2, 200, 14
41, 290, 14
26.7, 220, 16
30.7, 250, 18
37.8, 280, 16
41.7, 300, 12
24.2, 200, 10
32.7, 230, 12
29.3, 250, 16
18.7, 210, 16
42.2, 300, 14
43.5, 300, 10
24.3, 220, 14
32.1, 270, 18
36.6, 280, 14
18.8, 210, 18
32.7, 270, 14
27.7, 270, 20
24.7, 200, 14
30.1, 250, 16
22.5, 200, 16
29.9, 240, 14
33.7, 260, 12
16.8, 210, 20
20.5, 210, 18
37.5, 260, 10
38.6, 300, 16
41.3, 290, 12
24.1, 230, 18
41.2, 290, 10
44.5, 290, 12
32.1, 240, 12
28.8, 220, 10
34.2, 280, 16
26.2, 240, 16
43.2, 300, 10
32.2, 230, 10
28.7, 240, 12
27.8, 220, 14
22.2, 200, 12
32.2, 270, 16
25.8, 240, 20
30.6, 240, 12
28.6, 240, 14
33, 230, 10
15.5, 210, 20
19.7, 230, 20
19.2, 210, 16
28.2, 230, 14
17.7, 210, 18
30.5, 220, 10
33.8, 240, 12
35.5, 270, 14
43, 300, 14
22.7, 210, 12
16.7, 200, 18
19.7, 230, 20
30.3, 260, 16
28.2, 240, 14
32.7, 260, 14
33.7, 250, 10
23.7, 220, 14
24.7, 240, 18
30.4, 240, 10
34.6, 250, 10
30.7, 250, 12
36.2, 270, 12
33.7, 270, 14
28.3, 260, 18
34.4, 280, 14
22.6, 220, 16
21.5, 200, 12
33, 260, 16
38.7, 300, 14
24.4, 210, 10
42.5, 300, 14
36.2, 280, 14
29.5, 260, 16
32.4, 270, 14
28.5, 240, 18
22.6, 240, 20
22.6, 210, 14
16.6, 200, 18
30.3, 240, 12
27.3, 250, 18
36.5, 280, 18
32.2, 260, 14
32.3, 240, 10
45, 290, 10
24.2, 230, 16
34.7, 300, 20
34.2, 250, 10
26.6, 260, 20
14.2, 200, 20
34.6, 300, 20
33, 250, 14
24.1, 210, 14
44.5, 300, 14
25.3, 220, 14
26.5, 210, 14
24.4, 220, 12
33.7, 290, 18
29.7, 280, 20
24.2, 220, 14
35.3, 270, 14
25.3, 200, 10
31, 250, 16
39.3, 280, 12
29.8, 230, 14
22.2, 210, 14
27.2, 250, 16
18.2, 200, 16
36.8, 300, 18
30.2, 240, 12
21.7, 240, 20
29.2, 260, 16
46.5, 290, 10
15.7, 200, 18
25.5, 200, 10
30.7, 260, 16
37.7, 270, 10
24.7, 260, 20
28.5, 210, 12
27.5, 260, 20
26.3, 210, 10
23.2, 250, 20
36.5, 250, 10
40.2, 300, 14
32.6, 260, 14
22.6, 210, 14
29.5, 250, 16
24.7, 220, 14
30.7, 240, 10
36.4, 300, 16
34.2, 240, 10
43.9, 300, 12
32.4, 290, 18
36.2, 270, 12
38.4, 300, 14
32.7, 260, 12
28.2, 250, 18
32.4, 260, 12
40.7, 280, 10
26.5, 220, 14
26.5, 200, 10
40.2, 290, 12
31.9, 260, 16
29.5, 220, 10
20.2, 230, 20
20.3, 220, 18
36.2, 260, 10
38.5, 270, 12
26.7, 240, 16
